pair_id,upstream_id,downstream_id,upstream_name,downstream_name,upstream_segnum,downstream_segnum,count,count-,count0,count+,sign,start,end,min,median,mean,max,stdev
119^136,119,136,Tukipo River D/S Scenic Reserve,Tukipo River at State Highway 50,8169544,8169865,7,0,0,7,1.0,2008-12-17,2009-06-24,4026.24,6392.736,9575.58857142857,23057.568,6498.2228869465725
121^147,121,147,Tukipo River U/S Makaretu Confluence,Tukituki River U/S Kahahakuri Confluence,8170372,8170522,7,0,0,7,1.0,2008-12-17,2009-06-24,46452.096,133489.728,171535.84457142858,447603.84,120400.79679640291
127^119,127,119,Tukipo River at Clinton-Makaretu Rd,Tukipo River D/S Scenic Reserve,8168110,8169544,7,0,0,7,1.0,2008-12-17,2009-06-24,1788.48,4691.52,8061.12,25833.6,7645.251400414695
130^121,130,121,Tukipo River at Fairfield Road,Tukipo River U/S Makaretu Confluence,8170321,8170372,7,0,0,7,1.0,2008-12-17,2009-06-24,5890.752,13773.888,15759.113142857143,28739.232,8241.389321254786
136^130,136,130,Tukipo River at State Highway 50,Tukipo River at Fairfield Road,8169865,8170321,7,7,0,0,-1.0,2008-12-17,2009-06-24,-14040.0,-6890.4,-8712.329142857143,-5591.808,2982.1494562433336
144^147,144,147,Tukituki River D/S Waipuk Onga Road,Tukituki River U/S Kahahakuri Confluence,8169831,8170522,1,0,0,1,1.0,2009-02-04,2009-02-04,53775.36,53775.36,53775.36,53775.36,0.0
151^153,151,153,Tukituki River at Ashcott Bridge S.H. 50,Tukituki River at Fairfield Road,8168848,8169081,7,6,1,0,-0.8571428571428571,2008-12-17,2009-06-24,-80593.92,-60324.48,-57007.95428571429,-34603.2,13370.119683454974
153^169,153,169,Tukituki River at Fairfield Road,Tukituki River at Waipuk Onga Road,8169081,8169831,7,6,1,0,-0.8571428571428571,2008-12-17,2009-06-24,-45645.12,-34905.6,-34804.38857142857,-27907.2,5312.3961124993275
155^167,155,167,Tukituki River at Folgers,Tukituki River at Tukituki Rd - F and G,8166119,8168557,7,2,4,1,-0.14285714285714285,2008-12-17,2009-06-24,-38733.12,-3525.12,-3955.885714285715,31648.32,20181.229930016554
15^8,15,8,Kahahakuri Stream at Ongaonga Rd Br,Kahahakuri Stream U/S Tukituki Confl,8168776,8170426,7,0,0,7,1.0,2008-12-17,2009-06-24,16972.416,22857.12,22312.8,26861.76,2882.9059844126523
167^151,167,151,Tukituki River at Tukituki Rd - F and G,Tukituki River at Ashcott Bridge S.H. 50,8168557,8168848,7,1,5,1,0.0,2008-12-17,2009-06-24,-23328.0,8398.08,7193.4171428571435,34093.44,16249.479105931554
169^144,169,144,Tukituki River at Waipuk Onga Road,Tukituki River D/S Waipuk Onga Road,8169831,8169831,1,0,0,1,1.0,2009-02-04,2009-02-04,1710.72,1710.72,1710.72,1710.72,0.0
169^147,169,147,Tukituki River at Waipuk Onga Road,Tukituki River U/S Kahahakuri Confluence,8169831,8170522,6,0,0,6,1.0,2008-12-17,2009-06-24,57594.24,75094.56,76468.32,94219.2,12754.18795483272
179^187,179,187,Waipawa River 2.6Km U/S Stockade Rd,Waipawa River at End Stockade Road,8168547,8168547,7,7,0,0,-1.0,2008-12-17,2009-06-24,-144676.8,-111153.6,-105329.00571428573,-25488.0,34666.93613046251
186^179,186,179,Waipawa River at End Plantation Road,Waipawa River 2.6Km U/S Stockade Rd,8167002,8168547,7,7,0,0,-1.0,2008-12-17,2009-06-24,-75038.4,-66502.08,-64068.06857142857,-50613.12,7763.660674993517
195^186,195,186,Waipawa River at State Highway 50,Waipawa River at End Plantation Road,8165906,8167002,7,7,0,0,-1.0,2008-12-17,2009-06-24,-134006.4,-113469.12,-113203.74857142857,-97269.12,12557.484068990694
197^195,197,195,Waipawa River at Stewarts,Waipawa River at State Highway 50,8164853,8165906,7,0,6,1,0.14285714285714285,2008-12-17,2009-06-24,-26308.8,7223.04,9885.394285714285,52608.96,21678.601171566697
26^28,26,28,Maharakeke Stream at Limeworks Stn Rd,Maharakeke Stream at State Highway 2 Br,8172021,8170579,7,0,0,7,1.0,2008-12-17,2009-06-24,2829.6,4767.552,5372.845714285714,9619.776,2154.88136849935
28^37,28,37,Maharakeke Stream at State Highway 2 Br,Makaretu Stream U/S Tukipo,8170579,8170495,7,2,0,5,0.42857142857142855,2008-12-17,2009-06-24,-11981.088,17733.6,28566.308571428566,132911.712,45759.48241161003
37^147,37,147,Makaretu Stream U/S Tukipo,Tukituki River U/S Kahahakuri Confluence,8170495,8170522,7,0,0,7,1.0,2008-12-17,2009-06-24,56125.44,132649.92,166682.87999999998,393863.04,99809.5608979031
44^49,44,49,Makaretu Stream at Pagetts Road,Makaretu Stream at State Highway 50,8171340,8171496,7,0,2,5,0.7142857142857143,2008-12-17,2009-06-24,103.68,9685.44,10450.697142857143,29021.76,10108.147872214933
49^37,49,37,Makaretu Stream at State Highway 50,Makaretu Stream U/S Tukipo,8171496,8170495,7,7,0,0,-1.0,2008-12-17,2009-06-24,-39847.68,-30888.0,-30673.234285714287,-21833.28,5342.845201979017
69^75,69,75,Mangaonuku Stream D/S Mangamauku,Mangaonuku Stream at Argyll Rd,8163814,8166519,7,0,0,7,1.0,2008-12-17,2009-06-24,23129.28,24027.84,26350.765714285713,36573.12,4558.525453191626
75^73,75,73,Mangaonuku Stream at Argyll Rd,Mangaonuku Stream U/S Waipawa,8166519,8168304,7,0,0,7,1.0,2008-12-17,2009-06-24,89873.28,98271.36,99610.56000000001,109036.8,6093.99269718724
95^98,95,98,Mangatewai Stream at Boyles Road,Mangatewai Stream at SH50 Kurinui,8170323,8170597,7,0,1,6,0.8571428571428571,2008-12-17,2009-06-24,3983.04,6065.28,6338.057142857143,9383.04,1612.636679777335
98^130,98,130,Mangatewai Stream at SH50 Kurinui,Tukipo River at Fairfield Road,8170597,8170321,7,7,0,0,-1.0,2008-12-17,2009-06-24,-21669.12,-10101.888,-11299.392000000002,-1159.488,6311.660467078736
