Site,SiteID,geometry,count,flow_median,segnum,reachID,k,i,j,iseg,ireach
Black Stream U/S Kahahakuri Confluence,1,POINT (1898747 5571115),13,54229.824,8169920,729,0,61,56,98,14
Farm Stream at Creek Rd,2,POINT (1898813.9 5590438.1),5,3196.8,8162628,105,0,23,56,15,9
Farm Stream at Creek Rd_gaugings,3,POINT (1898813.9 5590438.1),5,3196.8,8162628,105,0,23,56,15,9
Kahahakuri Stream D/S Trib 10,4,POINT (1900471.9 5572464.2),1,27172.800000000003,8169409,1181,0,59,59,146,2
Kahahakuri Stream D/S Waipawamate/Trib,5,POINT (1899583.5 5570835.9),1,26834.976,8170048,1187,0,62,57,147,4
Kahahakuri Stream U/S Trib 8,6,POINT (1899996.7 5571525.5),1,29185.920000000002,8170048,1184,0,60,58,147,1
Kahahakuri Stream U/S Trib 9,7,POINT (1899986.6 5571635.5),1,28788.48,8169409,1183,0,60,58,146,4
Kahahakuri Stream U/S Tukituki Confl,8,POINT (1899348.6 5568929.5),9,49692.96,8170426,1194,0,66,57,148,5
Kahahakuri Stream U/S Tukituki Confl_gaugings,9,POINT (1899348.6 5568929.5),9,49692.96,8170426,1194,0,66,57,148,5
Kahahakuri Stream U/S Waipawamate,10,POINT (1899718.5 5571124.1),1,26524.800000000003,8170048,1185,0,61,58,147,2
Kahahakuri Stream at Goldwater Orchard,11,POINT (1896615.5 5575927),1,1468.8000000000002,8168156,1157,0,52,52,142,7
Kahahakuri Stream at Lindsay Road,12,POINT (1899318.5 5569222.7),13,54229.824,8170426,1193,0,65,57,148,4
Kahahakuri Stream at Lindsay Road_gaugings,13,POINT (1899318.5 5569222.7),13,54229.824,8170426,1193,0,65,57,148,4
Kahahakuri Stream at Middle,14,POINT (1897917.2 5575462.1),1,25574.4,8168776,1166,0,53,54,144,1
Kahahakuri Stream at Ongaonga Rd Br,15,POINT (1899636 5574002.2),24,27116.64,8168776,1172,0,56,58,144,7
Kahahakuri Stream at Ongaonga Rd Br_gaugings,16,POINT (1899636 5574002.2),24,27116.64,8168776,1172,0,56,58,144,7
Kahahakuri Stream at Plantation Rd Br,17,POINT (1895099.4 5576212.9),4,0.0,8167925,568,0,51,48,79,33
Kahahakuri Stream at Plantation Rd Br_gaugings,18,POINT (1895099.4 5576212.9),4,0.0,8167925,568,0,51,48,79,33
Kahahakuri Stream at S.H.50,19,POINT (1892312.2 5577627.4),4,33696.0,8167886,611,0,48,43,81,2
Kahahakuri Stream at S.H.50_gaugings,20,POINT (1892312.2 5577627.4),4,33696.0,8167886,611,0,48,43,81,2
Kahahakuri Trib at Chestermans Bridge,21,POINT (1893016.3 5579464.8),5,0.0,8167925,558,0,45,44,79,23
Kahahakuri Trib at Chestermans Bridge_gaugings,22,POINT (1893016.3 5579464.8),5,0.0,8167925,558,0,45,44,79,23
Kahahakuri Trib at Tributary No.1,23,POINT (1898817.9 5571124),6,14990.400000000001,8169920,729,0,61,56,98,14
Kahahakuri Trib at Tributary No.1_gaugings,24,POINT (1898817.9 5571124),6,14990.400000000001,8169920,729,0,61,56,98,14
Maharakeke Stream U/S Makaretu,25,POINT (1897017 5568622),2,28244.16,8170579,1442,0,66,52,190,8
Maharakeke Stream at Limeworks Stn Rd,26,POINT (1894133.7 5563828.3),12,8268.48,8172021,1402,0,76,47,181,4
Maharakeke Stream at Limeworks Stn Rd_gaugings,27,POINT (1894133.7 5563828.3),12,8268.48,8172021,1402,0,76,47,181,4
Maharakeke Stream at State Highway 2 Br,28,POINT (1896816.9 5568221.6),19,17228.16,8170579,1441,0,67,52,190,7
Maharakeke Stream at State Highway 2 Br_gaugings,29,POINT (1896816.9 5568221.6),19,17228.16,8170579,1441,0,67,52,190,7
Maharakeke Strm US Unnamed Seeforth Trib,30,POINT (1891720.3 5562013.8),7,10411.200000000003,8172683,1225,0,79,42,153,17
Maharakeke Strm US Unnamed Seeforth Trib_gaugings,31,POINT (1891720.3 5562013.8),7,10411.200000000003,8172683,1225,0,79,42,153,17
Maharakeke Strm at Hinerangi Rd,32,POINT (1889612.3 5559021.6),7,7992.000000000001,8173460,900,0,85,38,110,3
Maharakeke Strm at Hinerangi Rd_gaugings,33,POINT (1889612.3 5559021.6),7,7992.000000000001,8173460,900,0,85,38,110,3
Makaretu Stream 500M U/S Power Lines,34,POINT (1881207.2 5565217.3),3,51269.76,8171738,1130,0,73,21,140,21
Makaretu Stream U/S Maharakeke,35,POINT (1897017 5568822.1),5,50025.600000000006,8170570,1396,0,66,52,178,30
Makaretu Stream U/S Maharakeke_gaugings,36,POINT (1897017 5568822.1),5,50025.600000000006,8170570,1396,0,66,52,178,30
Makaretu Stream U/S Tukipo,37,POINT (1897323.5 5569027.5),13,13037.760000000002,8170495,1463,0,65,53,194,1
Makaretu Stream U/S Tukipo_gaugings,38,POINT (1897323.5 5569027.5),13,13037.760000000002,8170495,1463,0,65,53,194,1
Makaretu Stream at Burnside Road,39,POINT (1886646.5 5565760.5),2,92737.44,8171496,1339,0,72,32,175,9
Makaretu Stream at Fairfield Road,40,POINT (1886810.6 5565718.5),3,59961.600000000006,8171496,1339,0,72,32,175,9
Makaretu Stream at Farm Bridge,41,POINT (1892514 5568120.9),1,54172.8,8170570,1380,0,67,43,178,14
Makaretu Stream at Fraser Road Extention,42,POINT (1889812.4 5567019.8),3,51580.8,8170570,1373,0,69,38,178,7
Makaretu Stream at House off Burnside Rd,43,POINT (1888889.8 5566703.4),2,102124.79999999999,8170570,1370,0,70,36,178,4
Makaretu Stream at Pagetts Road,44,POINT (1871597.3 5566692.5),18,46180.8,8171340,1088,0,70,2,136,3
Makaretu Stream at Pagetts Road_gaugings,45,POINT (1871597.3 5566692.5),18,46180.8,8171340,1088,0,70,2,136,3
Makaretu Stream at Speedy Rd Bridge Gw8,46,POINT (1894415.4 5567620.9),7,62121.600000000006,8170570,1389,0,68,47,178,23
Makaretu Stream at Speedy Rd Bridge Gw8_gaugings,47,POINT (1894415.4 5567620.9),7,62121.600000000006,8170570,1389,0,68,47,178,23
Makaretu Stream at Speedy Rd Gw10,48,POINT (1891113.1 5568120.7),3,31622.4,8170570,1378,0,67,41,178,12
Makaretu Stream at State Highway 50,49,POINT (1883620.7 5565236.7),21,58060.8,8171496,1333,0,73,26,175,3
Makaretu Stream at State Highway 50_gaugings,50,POINT (1883620.7 5565236.7),21,58060.8,8171496,1333,0,73,26,175,3
Makaretu Stream at Taniwha Deer Farm,51,POINT (1893114.5 5567620.7),3,51926.4,8170570,1385,0,68,45,178,19
Makaretu Stream at Watsons Reach,52,POINT (1882407.9 5565317.5),2,51451.20000000001,8171738,1132,0,73,23,140,23
Makaretu Stream at Watsons Reach_gaugings,53,POINT (1882407.9 5565317.5),2,51451.20000000001,8171738,1132,0,73,23,140,23
Makaroro River at Burnt Bridge,54,POINT (1882803.5 5587131.5),32,150120.0,8164056,1246,0,29,24,159,4
Makaroro River at Burnt Bridge_gaugings,55,POINT (1882803.5 5587131.5),32,150120.0,8164056,1246,0,29,24,159,4
Mangamate Stream D/S Confl,56,POINT (1895911 5593239.4),4,4881.6,8162968,884,0,17,50,109,1
Mangamate Stream D/S Confl_gaugings,57,POINT (1895911 5593239.4),4,4881.6,8162968,884,0,17,50,109,1
Mangamate Stream at Downstream Of Weir,58,POINT (1895009.4 5596441.5),7,3430.0800000000004,8160060,38,0,10,48,7,10
Mangamate Stream at Downstream Of Weir_gaugings,59,POINT (1895009.4 5596441.5),7,3430.0800000000004,8160060,38,0,10,48,7,10
Mangamate Stream at State Highway 50,60,POINT (1897312.7 5590637.8),31,2704.32,8162968,892,0,22,53,109,9
Mangamate Stream at State Highway 50_gaugings,61,POINT (1897312.7 5590637.8),31,2704.32,8162968,892,0,22,53,109,9
Mangamauku Stream U/S Mangaonuku,62,POINT (1898714.3 5588336.5),8,7430.4,8163648,971,0,27,56,121,20
Mangamauku Stream U/S Mangaonuku_gaugings,63,POINT (1898714.3 5588336.5),8,7430.4,8163648,971,0,27,56,121,20
Mangaoho Stream at Butler Road,64,POINT (1898615.1 5584833.9),6,18213.120000000003,8165087,1012,0,34,55,130,1
Mangaoho Stream at Butler Road_gaugings,65,POINT (1898615.1 5584833.9),6,18213.120000000003,8165087,1012,0,34,55,130,1
Mangaoho Stream at State Highway 50,66,POINT (1895712.8 5585533.7),35,1987.2,8164630,861,0,32,50,106,50
Mangaoho Stream at State Highway 50_gaugings,67,POINT (1895712.8 5585533.7),35,1987.2,8164630,861,0,32,50,106,50
Mangaonuku Stream D/S Mangaho,68,POINT (1900817.3 5582132.4),2,34344.0,8166298,1418,0,39,60,185,1
Mangaonuku Stream D/S Mangamauku,69,POINT (1899175.7 5588282.6),30,14644.800000000001,8163814,1258,0,27,57,162,1
Mangaonuku Stream D/S Mangamauku_gaugings,70,POINT (1899175.7 5588282.6),30,14644.800000000001,8163814,1258,0,27,57,162,1
Mangaonuku Stream D/S Te Heka,71,POINT (1900616.4 5585534.9),2,33091.200000000004,8165492,1291,0,32,60,169,3
Mangaonuku Stream U/S Mangatahi,72,POINT (1901618.3 5580031),1,79833.6,8166519,1495,0,43,62,201,2
Mangaonuku Stream U/S Waipawa,73,POINT (1901619.2 5575627.7),20,129418.56,8168304,1567,0,52,62,215,1
Mangaonuku Stream U/S Waipawa_gaugings,74,POINT (1901619.2 5575627.7),20,129418.56,8168304,1567,0,52,62,215,1
Mangaonuku Stream at Argyll Rd,75,POINT (1901627.5 5579883.5),20,36244.8,8166519,1496,0,44,62,201,3
Mangaonuku Stream at Argyll Rd_gaugings,76,POINT (1901627.5 5579883.5),20,36244.8,8166519,1496,0,44,62,201,3
Mangaonuku Stream at Highway 50 Site 2,77,POINT (1898612.2 5596042.2),7,9028.800000000001,8161737,760,0,11,56,100,18
Mangaonuku Stream at Highway 50 Site 2_gaugings,78,POINT (1898612.2 5596042.2),7,9028.800000000001,8161737,760,0,11,56,100,18
Mangaonuku Stream at Opposite Quarry,79,POINT (1901619.2 5575527.6),3,161913.6,8168304,1567,0,52,62,215,1
Mangaonuku Stream at Riverslea,80,POINT (1900516.3 5585735),1,19094.4,8165492,1290,0,32,59,169,2
Mangaonuku Stream at Shed Access,81,POINT (1899514.3 5590938.6),12,22325.760000000002,8162742,1198,0,22,57,149,4
Mangaonuku Stream at Shed Access_gaugings,82,POINT (1899514.3 5590938.6),12,22325.760000000002,8162742,1198,0,22,57,149,4
Mangaonuku Stream at Site No.3,83,POINT (1901518.6 5578229.6),3,67651.20000000001,8167492,1523,0,47,61,207,2
Mangaonuku Stream at State Highway 50,84,POINT (1898612.9 5593540.3),34,2993.76,8161737,772,0,16,56,100,30
Mangaonuku Stream at State Highway 50_gaugings,85,POINT (1898612.9 5593540.3),34,2993.76,8161737,772,0,16,56,100,30
Mangaonuku Stream at Transmission Line,86,POINT (1901117.7 5581231.8),4,19224.0,8166298,1421,0,41,61,185,4
Mangaonuku Stream at Transmission Line_gaugings,87,POINT (1901117.7 5581231.8),4,19224.0,8166298,1421,0,41,61,185,4
Mangaonuku Stream at Waipawa Tikokino Rd,88,POINT (1901316.8 5576604.4),19,122342.40000000001,8167764,1529,0,50,61,209,1
Mangaonuku Stream at Waipawa Tikokino Rd_gaugings,89,POINT (1901316.8 5576604.4),19,122342.40000000001,8167764,1529,0,50,61,209,1
Mangaonuku Trib at Stopbank,90,POINT (1901118.7 5576328.1),4,54432.0,8167972,668,0,51,61,88,1
Mangaonuku Trib at Stopbank_gaugings,91,POINT (1901118.7 5576328.1),4,54432.0,8167972,668,0,51,61,88,1
Mangaonuku Trib at Tributary 19,92,POINT (1901918.4 5580731.6),15,12960.0,8166391,1426,0,42,62,186,3
Mangaonuku Trib at Tributary 19_gaugings,93,POINT (1901918.4 5580731.6),15,12960.0,8166391,1426,0,42,62,186,3
Mangatewai Stream U/S Tukipo,94,POINT (1885909.5 5568820.3),2,22852.800000000003,8170597,1107,0,66,30,138,9
Mangatewai Stream at Boyles Road,95,POINT (1873501.8 5569418.4),12,10173.6,8170323,323,0,65,5,50,4
Mangatewai Stream at Boyles Road_gaugings,96,POINT (1873501.8 5569418.4),12,10173.6,8170323,323,0,65,5,50,4
Mangatewai Stream at Burnside Road,97,POINT (1888695.4 5568775.8),2,49654.944,8170616,1150,0,66,36,141,18
Mangatewai Stream at SH50 Kurinui,98,POINT (1884408.7 5568319.7),14,20761.920000000002,8170597,1099,0,67,27,138,1
Mangatewai Stream at SH50 Kurinui_gaugings,99,POINT (1884408.7 5568319.7),14,20761.920000000002,8170597,1099,0,67,27,138,1
Ongaonga Stream 800M U/S Tuki Confl,100,POINT (1894014.2 5573224.7),2,46310.4,8169000,1551,0,57,46,211,2
Ongaonga Stream 800M U/S Tuki Confl_gaugings,101,POINT (1894014.2 5573224.7),2,46310.4,8169000,1551,0,57,46,211,2
Ongaonga Stream at State Highway 50,102,POINT (1891812.1 5576426.4),2,2721.6000000000004,8168788,1451,0,51,42,192,3
Ongaonga Stream at State Highway 50_gaugings,103,POINT (1891812.1 5576426.4),2,2721.6000000000004,8168788,1451,0,51,42,192,3
Otutatahi Strm US Porangahau Strm,104,POINT (1884642.9 5561285.4),6,565.9200000000001,8172874,914,0,81,28,114,3
Otutatahi Strm US Porangahau Strm_gaugings,105,POINT (1884642.9 5561285.4),6,565.9200000000001,8172874,914,0,81,28,114,3
Parikaka Stream at Mill Road,106,POINT (1881806.2 5572722),9,1728.0,8169522,972,0,58,22,122,1
Parikaka Stream at Mill Road_gaugings,107,POINT (1881806.2 5572722),9,1728.0,8169522,972,0,58,22,122,1
Porangahau Stream at Fraser Road,108,POINT (1889912.7 5565118.5),2,1423.008,8171554,1309,0,73,38,171,6
Porangahau Stream at Oruawhara Road,109,POINT (1887678.4 5564123.6),7,3991.6800000000003,8172001,1288,0,75,34,168,2
Porangahau Stream at Oruawhara Road_gaugings,110,POINT (1887678.4 5564123.6),7,3991.6800000000003,8172001,1288,0,75,34,168,2
Porangahau Stream at Paulsen Road,111,POINT (1885910.5 5562616.4),2,2626.5600000000004,8172415,1253,0,78,30,160,5
Porangahau Strm US Maharakeke Strm,112,POINT (1894841.9 5565583.6),7,7724.160000000001,8171554,1321,0,72,48,171,18
Porangahau Strm US Maharakeke Strm_gaugings,113,POINT (1894841.9 5565583.6),7,7724.160000000001,8171554,1321,0,72,48,171,18
Porangahau Strm US Otutatahi Strm,114,POINT (1884674.9 5561510.5),6,1429.92,8172798,226,0,81,28,33,11
Porangahau Strm US Otutatahi Strm_gaugings,115,POINT (1884674.9 5561510.5),6,1429.92,8172798,226,0,81,28,33,11
Porangahau Strm at Takapau Ormondville Rd,116,POINT (1882276.4 5561330.1),6,427.68000000000006,8172798,218,0,81,23,33,3
Tangarewai Stream at Ashley Clinton Road,117,POINT (1880005.4 5571020.6),10,10946.880000000001,8169768,986,0,61,18,127,1
Tangarewai Stream at Ashley Clinton Road_gaugings,118,POINT (1880005.4 5571020.6),10,10946.880000000001,8169768,986,0,61,18,127,1
Tukipo River D/S Scenic Reserve,119,POINT (1883123.8 5574195.2),9,16580.16,8169544,944,0,55,25,120,8
Tukipo River D/S Scenic Reserve_gaugings,120,POINT (1883123.8 5574195.2),9,16580.16,8169544,944,0,55,25,120,8
Tukipo River U/S Makaretu Confluence,121,POINT (1897328.1 5569184.4),20,28102.464,8170372,1560,0,65,53,212,7
Tukipo River U/S Makaretu Confluence_gaugings,122,POINT (1897328.1 5569184.4),20,28102.464,8170372,1560,0,65,53,212,7
Tukipo River U/S Mangatewai,123,POINT (1886009.6 5568820.3),2,20165.760000000002,8170610,1487,0,66,30,200,1
Tukipo River at 2Km U/S Site 42,124,POINT (1892013.4 5569721.9),2,25565.760000000002,8170145,1518,0,64,42,206,5
Tukipo River at Ashcott Road,125,POINT (1898017.6 5569422.7),30,113443.20000000001,8170316,1565,0,65,54,214,3
Tukipo River at Ashcott Road_gaugings,126,POINT (1898017.6 5569422.7),30,113443.20000000001,8170316,1565,0,65,54,214,3
Tukipo River at Clinton-Makaretu Rd,127,POINT (1877102.9 5574722.3),14,7179.84,8168110,47,0,54,13,9,3
Tukipo River at Clinton-Makaretu Rd_gaugings,128,POINT (1877102.9 5574722.3),14,7179.84,8168110,47,0,54,13,9,3
Tukipo River at Distribution Lines,129,POINT (1889712 5568620.8),3,10800.0,8170321,1501,0,66,38,203,3
Tukipo River at Fairfield Road,130,POINT (1888711.4 5568820.8),19,13392.0,8170321,1499,0,66,36,203,1
Tukipo River at Fairfield Road_gaugings,131,POINT (1888711.4 5568820.8),19,13392.0,8170321,1499,0,66,36,203,1
Tukipo River at Makaretu Rd Culvert,132,POINT (1883307.1 5573122.6),4,7214.400000000001,8169544,946,0,57,25,120,10
Tukipo River at Makaretu Road 120,133,POINT (1881705.8 5574623.2),6,8769.6,8168482,909,0,54,22,112,8
Tukipo River at Site 2,134,POINT (1894114.8 5570022.5),3,16934.4,8170079,1528,0,63,47,208,3
Tukipo River at Site 3,135,POINT (1892914 5570022.3),3,16070.400000000001,8170145,1520,0,64,44,206,7
Tukipo River at State Highway 50,136,POINT (1884774.5 5570701.3),22,20653.920000000002,8169865,1269,0,62,28,164,4
Tukipo River at State Highway 50_gaugings,137,POINT (1884774.5 5570701.3),22,20653.920000000002,8169865,1269,0,62,28,164,4
Tukipo River at Transmission Line,138,POINT (1887410.5 5568820.6),3,9244.800000000001,8170610,1490,0,66,33,200,4
Tukipo Trib at Trib 3,139,POINT (1894214.8 5570222.6),6,25652.160000000003,8169946,1165,0,63,47,143,3
Tukipo Trib at Trib 3_gaugings,140,POINT (1894214.8 5570222.6),6,25652.160000000003,8169946,1165,0,63,47,143,3
Tukituki River D/S Ashcott Intake,141,POINT (1885708.4 5574524),2,119880.0,8168557,1365,0,54,30,177,23
Tukituki River D/S Kahahakuri,142,POINT (1899971.5 5567787.5),1,0.0,8170945,1599,0,66,57,222,1
Tukituki River D/S Tukipo,143,POINT (1899446.7 5568735.2),5,73785.6,8170522,1598,0,66,57,221,2
Tukituki River D/S Waipuk Onga Road,144,POINT (1897565 5571014.7),1,2350.08,8169831,1591,0,61,53,220,4
Tukituki River U/S Ashcott Intake,145,POINT (1885007.7 5575424.4),2,136857.6,8168557,1362,0,53,28,177,20
Tukituki River U/S Ashcott Water Race,146,POINT (1884136 5576123.7),9,218678.40000000002,8168557,1359,0,51,27,177,17
Tukituki River U/S Kahahakuri Confluence,147,POINT (1899285.6 5568897.5),8,143043.84000000003,8170522,1598,0,66,57,221,2
Tukituki River U/S Kahahakuri Confluence_gaugings,148,POINT (1899285.6 5568897.5),8,143043.84000000003,8170522,1598,0,66,57,221,2
Tukituki River U/S Tukipo,149,POINT (1898618 5569322.7),3,0.0,8169831,1596,0,65,56,220,9
Tukituki River U/S Tukipo_gaugings,150,POINT (1898618 5569322.7),3,0.0,8169831,1596,0,65,56,220,9
Tukituki River at Ashcott Bridge S.H. 50,151,POINT (1886316.8 5574047.8),37,157161.6,8168848,1445,0,55,31,191,3
Tukituki River at Ashcott Bridge S.H. 50_gaugings,152,POINT (1886316.8 5574047.8),37,157161.6,8168848,1445,0,55,31,191,3
Tukituki River at Fairfield Road,153,POINT (1893013.5 5573324.6),26,100344.95999999999,8169081,1545,0,57,44,210,15
Tukituki River at Fairfield Road_gaugings,154,POINT (1893013.5 5573324.6),26,100344.95999999999,8169081,1545,0,57,44,210,15
Tukituki River at Folgers,155,POINT (1876701.1 5581626.4),21,189466.56000000003,8166119,1322,0,41,15,172,1
Tukituki River at Folgers_gaugings,156,POINT (1876701.1 5581626.4),21,189466.56000000003,8166119,1322,0,41,15,172,1
Tukituki River at Jerrams,157,POINT (1881934.1 5578647.8),2,159390.72,8168557,1350,0,46,22,177,8
Tukituki River at Site No.1,159,POINT (1889711.1 5573924.3),4,99489.6,8169081,1538,0,56,38,210,8
Tukituki River at Site No.2,160,POINT (1891512.3 5574024.8),5,67478.40000000001,8169081,1542,0,55,41,210,12
Tukituki River at Site No.3,161,POINT (1894314.5 5572424.2),3,1209.6000000000001,8169555,1584,0,59,47,219,2
Tukituki River at Site No.4,162,POINT (1895815.7 5571824),5,12441.6,8169555,1587,0,60,50,219,5
Tukituki River at Stopbank Road,164,POINT (1898317.6 5570523.5),3,33782.4,8169831,1593,0,62,55,220,6
Tukituki River at Tapairu Rd,165,POINT (1908325.1 5569524.2),30,197553.60000000003,8170945,1599,0,66,57,222,1
Tukituki River at Tapairu Rd_gaugings,166,POINT (1908325.1 5569524.2),30,197553.60000000003,8170945,1599,0,66,57,222,1
Tukituki River at Tukituki Rd - F and G,167,POINT (1882466.6 5577537.2),17,185941.44,8168557,1353,0,48,23,177,11
Tukituki River at Tukituki Rd - F and G_gaugings,168,POINT (1882466.6 5577537.2),17,185941.44,8168557,1353,0,48,23,177,11
Tukituki River at Waipuk Onga Road,169,POINT (1897416.9 5571023.7),33,94176.0,8169831,1591,0,61,53,220,4
Tukituki River at Waipuk Onga Road_gaugings,170,POINT (1897416.9 5571023.7),33,94176.0,8169831,1591,0,61,53,220,4
Unnamed Maharakeke Trib at Marlow Hill Stn,172,POINT (1889747.4 5559032.6),7,1408.3200000000002,8173462,901,0,86,38,111,1
Unnamed Maharakeke Trib at Marlow Hill Stn_gaugings,173,POINT (1889747.4 5559032.6),7,1408.3200000000002,8173462,901,0,86,38,111,1
Unnamed Paulsen Rd Strm US Porangahau/Otutatahi,174,POINT (1884878 5561303.4),6,2345.76,8172845,980,0,81,28,123,1
Unnamed Paulsen Rd Strm US Porangahau/Otutatahi_gaugings,175,POINT (1884878 5561303.4),6,2345.76,8172845,980,0,81,28,123,1
Unnamed Seeforth Trib US Maharakeke Strm,176,POINT (1892009.5 5561980.8),7,2522.88,8172683,1225,0,79,42,153,17
Unnamed Seeforth Trib US Maharakeke Strm_gaugings,177,POINT (1892009.5 5561980.8),7,2522.88,8172683,1225,0,79,42,153,17
Waipawa River 1.1km U/S SH50 Br,178,POINT (1895313.5 5581030.4),2,320284.80000000005,8166473,1602,0,42,49,223,3
Waipawa River 2.6Km U/S Stockade Rd,179,POINT (1898416.7 5576627.9),12,108656.64000000001,8168547,1617,0,50,55,225,6
Waipawa River 2.6Km U/S Stockade Rd_gaugings,180,POINT (1898416.7 5576627.9),12,108656.64000000001,8168547,1617,0,50,55,225,6
Waipawa River D/S Makaroro,181,POINT (1883604.2 5586431.3),10,370915.20000000007,8164719,1466,0,31,26,196,1
Waipawa River D/S Makaroro_gaugings,182,POINT (1883604.2 5586431.3),10,370915.20000000007,8164719,1466,0,31,26,196,1
Waipawa River at Above Lindsay Water R,183,POINT (1887507.2 5584831.2),24,323308.80000000005,8164867,1478,0,34,33,199,4
Waipawa River at Distribution Line Xing,184,POINT (1898116.3 5577228.2),10,167875.2,8168547,1615,0,49,54,225,4
Waipawa River at End Caldwell Road,185,POINT (1890909.7 5584131.6),8,260802.72000000003,8165419,1510,0,35,41,205,1
Waipawa River at End Plantation Road,186,POINT (1896714.9 5579229.4),38,244684.80000000002,8167002,1608,0,45,52,224,1
Waipawa River at End Stockade Road,187,POINT (1901219 5575027.2),33,58320.00000000001,8168547,1625,0,53,61,225,14
Waipawa River at End Stockade Road_gaugings,188,POINT (1901219 5575027.2),33,58320.00000000001,8168547,1625,0,53,61,225,14
Waipawa River at End Stopbank,189,POINT (1896114.3 5580330.1),2,309916.80000000005,8166473,1604,0,43,50,223,5
Waipawa River at Fletchers Crossing,190,POINT (1882803.8 5586230.9),18,112786.56,8164387,1397,0,31,24,179,1
Waipawa River at Fletchers Crossing_gaugings,191,POINT (1882803.8 5586230.9),18,112786.56,8164387,1397,0,31,24,179,1
Waipawa River at Main Trans. Line Xing,192,POINT (1897515.7 5578028.7),13,214099.2,8168547,1613,0,48,53,225,2
Waipawa River at RDS/SH2,193,POINT (1905322.5 5572225.8),53,435888.0,8169345,1629,0,55,62,227,1
Waipawa River at RDS/SH2_gaugings,194,POINT (1905322.5 5572225.8),53,435888.0,8169345,1629,0,55,62,227,1
Waipawa River at State Highway 50,195,POINT (1894735 5581845.8),66,272708.64,8165906,1581,0,40,48,218,8
Waipawa River at State Highway 50_gaugings,196,POINT (1894735 5581845.8),66,272708.64,8165906,1581,0,40,48,218,8
Waipawa River at Stewarts,197,POINT (1890509.3 5584731.9),41,331240.32000000007,8164853,1497,0,34,39,202,1
Waipawa River at Stewarts_gaugings,198,POINT (1890509.3 5584731.9),41,331240.32000000007,8164853,1497,0,34,39,202,1
Waipawa River at Stopbank Road No.1,199,POINT (1898917.1 5576127.6),5,212976.0,8168547,1619,0,51,56,225,8
Waipawa River at Stopbank Road No.2,200,POINT (1899817.8 5575627.4),4,188092.8,8168547,1622,0,52,58,225,11
Waipawa River at Stopbank Road No.3,201,POINT (1900618.5 5575327.3),2,72403.20000000001,8168547,1624,0,53,60,225,13
Waipawa River at Worsnops,202,POINT (1892210.9 5583131.2),12,177033.6,8165906,1574,0,37,43,218,1
